date,headline,url,Label
2023-06-01,"Macy’s Cuts Full-Year Sales, Profit Outlook",https://www.wsj.com/business/retail/macys-earnings-m-q1-2023-b9f700c3,1
2023-06-01,KKR-Backed Cancer-Treatment Provider GenesisCare Files for Bankruptcy,https://www.wsj.com/articles/kkr-backed-cancer-treatment-provider-genesiscare-files-for-bankruptcy-953132cf,1
2023-06-01,Supreme Court Says Employer Can Sue Union for Losses Caused by Work Action,https://www.wsj.com/us-news/law/supreme-court-says-employer-can-sue-union-for-losses-caused-by-work-action-1364a16,1
2023-06-01,"Stocks Rise, Led by Tech, as Investors Eye Debt-Ceiling Progress",https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-06-01-2023-7eb1cd18,1
2023-06-01,Robust Labor Market Poses Threat to Stocks’ Rally,https://www.wsj.com/economy/jobs/robust-jobs-market-poses-threat-to-stocks-rally-a43d26b,1
2023-06-02,Mallinckrodt Explores Repeat Bankruptcy as $200 Million Opioid Payment Comes Due,https://www.wsj.com/articles/mallinckrodt-explores-repeat-bankruptcy-as-200-million-opioid-payment-comes-due-dfdfede1,0
2023-06-02,Dow Jumps 700 Points After May Jobs Report Comes in Hot,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-06-02-2023-a7a0d478,0
2023-06-02,U.S. Labor Market Shows Resilience With Strong Hiring,https://www.wsj.com/economy/jobs/may-jobs-report-unemployment-rate-economy-growth-2023-65ae1e96,0
2023-06-02,"The Score: Nvidia, SoFi, Dollar General and More Stocks That Defined The Week",https://www.wsj.com/finance/nvidia-sofi-dollar-general-t-mobile-amazon-kohls-the-score-2204bc1f,0
2023-06-02,Don’t Blame Government-Induced Drug Shortages on the Market,https://www.wsj.com/opinion/drug-prices-shortages-market-government-supply-19ed10ff,0
2023-06-02,Jobs Report Is Unlikely to Resolve Fed Rate Debate,https://www.wsj.com/economy/jobs/jobs-report-is-unlikely-to-resolve-fed-rate-debate-1690ff2e,0
2023-06-05,George Santos Wants Names of Bond Cosigners in Fraud Case Sealed,https://www.wsj.com/us-news/law/george-santos-wants-names-of-bond-cosigners-in-fraud-case-sealed-27ce4c58,1
2023-06-05,"Plane Crash That Came After Sonic Boom Rattled Washington, D.C., Under Investigation",https://www.wsj.com/us-news/federal-officials-investigating-plane-crash-that-came-after-sonic-boom-rattled-washington-d-c-1f156e24,1
2023-06-05,Wall Street Backs Off Bets on Fed Rate Cuts,https://www.wsj.com/finance/wall-street-backs-off-bets-on-fed-rate-cuts-6f1d32b5,1
2023-06-05,"S&P 500 Starts Week Lower, Just Shy of Bull Market Territory",https://www.wsj.com/finance/global-stocks-markets-dow-news-06-05-2023-582696e9,1
2023-06-05,Spotify Layoffs Are Latest Sign of Struggles in Podcast Business,https://www.wsj.com/tech/spotify-to-cut-200-jobs-as-it-reorganizes-podcasting-division-39720004,1
2023-06-05,Credit Repair Business Progrexion Files for Bankruptcy Over $2.7 Billion CFPB Claim,https://www.wsj.com/articles/credit-repair-business-progrexion-files-for-bankruptcy-over-2-7-billion-cfpb-claim-af3cdf66,1
2023-06-06,This Rally Is All About a Few Star Stocks. Some Investors Are Worried.,https://www.wsj.com/finance/stocks/this-rally-is-all-about-a-few-star-stocksand-some-investors-are-worried-b64382e2,0
2023-06-06,Top Morgan Stanley M&A Banker to Join Law Firm Paul Weiss,https://www.wsj.com/business/deals/top-morgan-stanley-m-a-banker-to-join-law-firm-paul-weiss-bab8b8c2,0
2023-06-06,"Stocks Rise as S&P 500, Nasdaq Notch Fresh 2023 Highs",https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-06-07-2023-333aa441,0
2023-06-06,"Jackson, Miss., to Receive $115 Million in Federal Funds to Fix Its Water System",https://www.wsj.com/us-news/jackson-miss-to-receive-115-million-in-federal-funds-to-fix-its-water-system-5ce4cfa1,0
2023-06-07,GameStop Shares Fall as It Fires CEO and Names Ryan Cohen Executive Chairman,https://www.wsj.com/business/gamestop-fires-ceo-names-investor-ryan-cohen-executive-chairman-39782eac,1
2023-06-07,Stock Clearinghouse to Suspend Data Feed Criticized for Leaking Trading Info,https://www.wsj.com/finance/stocks/stock-clearinghouse-to-suspend-data-feed-criticized-for-leaking-trading-info-ad3d0ae3,1
2023-06-07,"Binance.US Was Deeply Unprofitable in 2022, Documents Show",https://www.wsj.com/finance/currencies/binance-us-was-deeply-unprofitable-in-2022-documents-show-9c9c95a6,1
2023-06-07,S&P 500’s Bull-Market Climb Thwarted by Canada Rate Move,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-07-2023-620589f8,1
2023-06-07,Treasury’s $1 Trillion Debt Deluge Threatens Market Calm,https://www.wsj.com/finance/treasurys-1-trillion-debt-deluge-threatens-market-calm-f2173ef4,1
2023-06-08,DocuSign Shares Climb With Turnaround Efforts Under Way,https://www.wsj.com/finance/docusign-docu-1q-earnings-report-2023-8fad2471,1
2023-06-08,Bank of Canada’s Beaudry Sees Signs of New Era of Higher Interest Rates,https://www.wsj.com/articles/bank-of-canadas-beaudry-sees-signs-of-new-era-of-higher-interest-rates-80537e59,1
2023-06-08,Carvana Shares Jump More Than 50% as Company’s Profit Outlook Improves,https://www.wsj.com/business/autos/carvana-shares-jump-41-as-the-companys-profit-outlook-improves-54feabd0,1
2023-06-08,S&P Enters Bull Market as Big Tech Lifts Stocks,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-08-2023-ef63fc60,1
2023-06-09,Children Lost in Amazon Jungle After Plane Crash Found Alive,https://www.wsj.com/world/children-lost-in-amazon-jungle-after-plane-crash-found-alive-ee2dd790,1
2023-06-09,"The Score: Apple, Coinbase, and More Stocks That Defined the Week",https://www.wsj.com/finance/the-score-apple-coinbase-and-more-stocks-that-defined-the-week-449a10e2,1
2023-06-09,3M Can’t Resolve Mass Lawsuits Through Earplug Unit’s Bankruptcy,https://www.wsj.com/articles/judge-throws-out-3m-earplug-units-bankruptcy-b486926f,1
2023-06-09,S&P 500 Treks Higher as Investors Prep for Fed Decision,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-09-2023-4d56d04c,1
2023-06-12,Mother of 6-Year-Old Accused of Shooting His Teacher Pleads Guilty to Federal Gun Charges,https://www.wsj.com/us-news/mother-of-6-year-old-who-allegedly-shot-his-teacher-pleads-guilty-to-federal-gun-charges-d548219a,1
2023-06-12,Instant Pot’s Slower Sales Tip Gadget Maker Into Bankruptcy,https://www.wsj.com/articles/instant-pots-slower-sales-tip-gadget-maker-into-bankruptcy-1ef2c7d1,1
2023-06-12,Bondholders Target Slot Machine Operator’s Dividends as Chapter 11 Begins,https://www.wsj.com/articles/bondholders-target-slot-machine-operators-dividends-as-chapter-11-begins-f6312c00,1
2023-06-12,Blackstone-Owned Autism Treatment Provider Files for Bankruptcy,https://www.wsj.com/articles/blackstone-owned-autism-treatment-provider-files-for-bankruptcy-fcaf010a,1
2023-06-12,Inflation Puts the Fed on Its Heels,https://www.wsj.com/opinion/inflation-puts-the-fed-on-its-heels-spending-gdp-rates-credit-standards-lenders-banks-e87b73b9,1
2023-06-12,"Weight-Loss Drugs Like Ozempic Are Treating Binge Eating, Too",https://www.wsj.com/articles/can-ozempic-treat-binge-eating-for-some-the-answer-is-yes-dbdc009f,1
2023-06-13,Inflation Is Biden’s Election Headwind,https://www.wsj.com/opinion/inflation-is-bidens-election-headwind-grocery-prices-wages-public-opinion-6f55ccd5,1
2023-06-13,The Fed’s Monetary Policy Tool Kit Needs an Overhaul,https://www.wsj.com/opinion/the-feds-monetary-policy-tool-kit-needs-an-overhaul-interest-rates-budget-ea23c68a,1
2023-06-13,House Passes Bill Limiting Federal Regulation of Gas Stoves,https://www.wsj.com/politics/house-passes-bill-limiting-federal-regulation-of-gas-stoves-54a8b563,1
2023-06-13,No Inflation Reprieve for the Federal Reserve,https://www.wsj.com/opinion/federal-reserve-interest-rates-inflation-data-prices-ba3fb31b,1
2023-06-13,"Trump’s Federal Court Appearance Attracts Supporters, Protesters…and a Pig’s Head",https://www.wsj.com/us-news/trumps-federal-court-appearance-attracts-supporters-protestersand-a-pigs-head-7a08b782,1
2023-06-13,CPI Report Shows Inflation Has Been Cut in Half,https://www.wsj.com/economy/consumer-price-index-report-may-inflation-cafcbef5,1
2023-06-13,China’s Central Bank Moves to Shore Up Recovery,https://www.wsj.com/world/chinas-central-bank-moves-to-shore-up-recovery-677013a8,1
2023-06-13,Inflation’s Retreat Gives Fed Wiggle Room,https://www.wsj.com/economy/the-case-for-an-inflation-cool-down-fd771360,1
2023-06-13,Sam Bankman-Fried Takes Fight Over Federal Fraud Case to Bahamas,https://www.wsj.com/us-news/crime/sam-bankman-fried-takes-fight-over-federal-fraud-case-to-bahamas-984b3b0,1
2023-06-13,"Colombian Children Survived on Fruit, Nuts and Wits After Crash in Amazon Jungle",https://www.wsj.com/world/colombian-children-survived-on-fruit-nuts-and-wits-in-amazon-jungle-b462a3ef,1
2023-06-13,Fed-Rate Projections Could Rise to Underscore Inflation Anxieties,https://www.wsj.com/economy/central-banking/fed-rate-projections-could-rise-to-underscore-inflation-anxieties-496a0a60,1
2023-06-14,American Investment Banks Give Up Some China IPO Mandates,https://www.wsj.com/finance/banking/american-investment-banks-are-giving-up-some-china-ipo-mandates-19e6744,1
2023-06-14,Fed Holds Rates Steady but Expects More Increases,https://www.wsj.com/economy/central-banking/fed-holds-rates-steady-but-expects-more-increases-b1be87f2,1
2023-06-14,New Zealand Felt a Recession Could Be Necessary to Tame Inflation. It Got One.,https://www.wsj.com/world/oceania/new-zealand-felt-a-recession-could-be-necessary-to-tame-inflation-it-got-one-e4abaef,1
2023-06-14,"Shell Courts Investors With More Cash, Defense of Oil",https://www.wsj.com/business/energy-oil/shell-to-lift-dividend-launch-5-billion-buyback-eadf10ed,1
2023-06-14,China-Backed Infrastructure Bank Executive Quits,https://www.wsj.com/world/china-backed-infrastructure-bank-executive-criticizes-bank-after-quitting-e7514354,1
2023-06-14,Transcript: Fed Chief Powell’s Postmeeting Press Conference,https://www.wsj.com/articles/transcript-fed-chief-powells-postmeeting-press-conference-fa29e77e,1
2023-06-14,Stock Market to Fed: You Haven’t Done Enough,https://www.wsj.com/economy/stock-market-to-fed-you-havent-done-enough-45c7a23e,1
2023-06-14,S&P 500 Steady After Fed Skips June Rate Hike,https://www.wsj.com/economy/global-stocks-markets-dow-news-06-14-2023-5695f986,1
2023-06-14,Big Companies on Verge of New Market for Clean-Energy Tax Credits,https://www.wsj.com/business/energy-oil/tax-rules-to-kick-off-new-clean-energy-market-c680194e,1
2023-06-14,The End of the Fed’s Tightening Is Still in Sight,https://www.wsj.com/economy/central-banking/the-end-of-the-feds-tightening-is-still-in-sight-1a50bb2f,1
2023-06-14,The Fed Rate Pause Won’t End Mortgage Misery,https://www.wsj.com/personal-finance/fed-interest-rate-your-money-59578a4b,1
2023-06-14,Treasury Yields Rebound After Fed Signals Higher Rates Ahead,https://www.wsj.com/economy/treasury-yields-rebound-after-fed-signals-higher-rates-ahead-b12dd481,1
2023-06-14,The Beyoncé Effect: Sweden’s Inflation Feels the Hit,https://www.wsj.com/economy/global/the-beyonce-effect-swedens-inflation-feels-the-hit-417370a6,1
2023-06-14,The Federal Case Against Trump on the Mar-a-Lago Documents,https://www.wsj.com/articles/the-federal-case-against-trump-on-the-mar-a-lago-documents-12054f5,1
2023-06-15,Why a Bull Market Is a Bad Time to Check Your 401(k),https://www.wsj.com/personal-finance/retirement/why-a-bull-market-is-a-bad-time-to-check-your-401-k-8dcf27d3,0
2023-06-15,Bankrupt Vice Media in Sale Talks With Media Group GoDigital,https://www.wsj.com/articles/bankrupt-vice-media-in-sale-talks-with-media-group-godigital-4864f0ae,0
2023-06-15,Pay Could Be Seized From Failed Banks’ Executives Under Senate Bill,https://www.wsj.com/politics/senate-clawback-bill-would-take-pay-from-failed-bank-executives-2961137c,0
2023-06-15,Raphael Bostic Discloses Violations of Fed Trading Rules in 2022,https://www.wsj.com/articles/raphael-bostic-discloses-violations-of-fed-trading-rules-in-2022-702256ff,0
2023-06-15,"Judge Splits Charges Against Sam Bankman-Fried, Sets Two Criminal Trials",https://www.wsj.com/us-news/judge-weighs-whether-sam-bankman-fried-will-face-two-criminal-trials-b06e0ad0,0
2023-06-15,What to Make of the Fed’s Interest-Rate Pause,https://www.wsj.com/opinion/federal-reserve-interest-rate-pause-inflation-powell-lags-auto-sales-rates-fomc-23624a48,0
2023-06-15,"Cava Stock Soars 99% in Stock-Market Debut, Lifting Hopes for New Listings",https://www.wsj.com/finance/cava-soars-in-stock-market-debut-lifting-hopes-for-new-listings-f1359c5b,0
2023-06-15,Stocks Close at Highest Levels Since 2022,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-15-2023-b916d767,0
2023-06-15,"As Saudis Sought to Push Up Oil Prices, Markets Had Other Ideas",https://www.wsj.com/finance/saudi-arabia-sought-to-push-oil-prices-higher-markets-had-other-ideas-30583af6,0
2023-06-16,"The Score: Carnival, Disney, Nvidia and More Stocks That Defined the Week",https://www.wsj.com/finance/the-score-carnival-disney-nvidia-unitedhealth-illumina-cava-nasdaq-29e8083,0
2023-06-16,What to Make of Trump’s Federal Indictment,https://www.wsj.com/opinion/trump-indictment-classified-documents-equal-justice-law-9338f79a,0
2023-06-16,Is the Stock Market Closed on Juneteenth?,https://www.wsj.com/finance/stocks/stock-market-closed-open-juneteenth-holiday-11655494508,0
2023-06-16,Federal Probe Advances Into Trump’s Effort to Reverse 2020 Election,https://www.wsj.com/politics/federal-probe-advances-into-trumps-effort-to-reverse-2020-election-a2c1dd63,0
2023-06-20,FedEx Quarterly Sales Fall 10% as Shipping Struggles Continue,https://www.wsj.com/finance/fedex-quarterly-sales-fall-10-as-shipping-struggles-continues-271d93b6,0
2023-06-20,U.S. Stocks Pull Back Tuesday as Market Rally Pauses,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-20-2023-71a9dde9,0
2023-06-20,Swedbank to Pay $3.4 Million to Settle U.S. Sanctions Violations,https://www.wsj.com/articles/swedbank-to-pay-3-4-million-to-settle-u-s-sanctions-violations-48c3f856,0
2023-06-20,A Lake Tahoe Estate Is Going on the Market for the First Time in More Than 60 Years. The Asking Price? $35 Million,https://www.wsj.com/real-estate/a-lake-tahoe-estate-is-going-on-the-market-for-the-first-time-in-more-than-60-years-the-asking-price-35-million-83739db,0
2023-06-20,Stock-Market Rally Costs Bears $120 Billion,https://www.wsj.com/finance/stock-market-rally-costs-bears-120-billion-3f55161b,0
2023-06-20,"Wall Street Buys More T-Bills, Parks Less at Fed",https://www.wsj.com/finance/wall-street-buys-more-t-bills-parks-less-at-fed-304cf41e,0
2023-06-20,Palestinian Gunmen Kill Four Israelis in West Bank,https://www.wsj.com/world/palestinian-gunmen-kill-four-israelis-in-west-bank-e163e59a,0
2023-06-20,"Gannett Sues Google, Alleges Monopolization of Ad-Tech Markets",https://www.wsj.com/business/gannett-sues-google-alleges-monopolization-of-ad-tech-markets-100a76,0
2023-06-21,Investors Are Putting America First Again,https://www.wsj.com/finance/investors-are-putting-america-first-again-61ae5dda,1
2023-06-21,Chicago Fed’s Goolsbee Not Certain What Central Bank’s Next Move Should Be,https://www.wsj.com/articles/chicago-feds-goolsbee-not-certain-what-central-banks-next-move-should-be-d6198da,1
2023-06-21,Tech Stocks Drag Down Indexes,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-21-2023-70305ccc,1
2023-06-21,ChatGPT Told SoftBank’s Masayoshi Son His Ideas Are Great. Now He’s Investing Big in AI.,https://www.wsj.com/finance/softbanks-masayoshi-son-says-hes-focusing-on-ai-inventions-621089ac,1
2023-06-22,Regulators May Sink America’s Banks,https://www.wsj.com/opinion/regulators-may-sink-americas-banks-credit-economy-federal-reserve-crisis-4ccf1dc,0
2023-06-22,The Bank of England’s Inflation Desperation,https://www.wsj.com/opinion/bank-of-england-interest-rates-u-k-liz-truss-tax-cuts-rishi-sunak-andrew-bailey-inflation-e2598eac,0
2023-06-22,George Santos’s Father and Aunt Backed His Bond in Fraud Case,https://www.wsj.com/us-news/crime/george-santoss-father-and-aunt-backed-his-500-000-bond-in-fraud-case-cd72d1cf,0
2023-06-22,‘No Hard Feelings’ Review: Jennifer Lawrence’s Crash Course in Adulthood,https://www.wsj.com/arts-culture/no-hard-feelings-review-jennifer-lawrences-crash-course-in-adulthood-9848e59b,0
2023-06-22,Ford Plans New Round of Layoffs for U.S. Salaried Workers,https://www.wsj.com/business/ford-prepares-new-round-of-layoffs-for-u-s-salaried-workers-a533a7a4,0
2023-06-22,Tech Stock Rally Helps S&P 500 Snap Three-Session Losing Streak,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-22-2023-43c36588,0
2023-06-22,Hopes Rise for Rally in Small Stocks After Historic Underperformance,https://www.wsj.com/finance/hopes-rise-for-rally-in-small-stocks-after-historic-underperformance-b15a1d20,0
2023-06-23,"The Score: Rivian, Alibaba, FedEx and More Stocks That Defined the Week",https://www.wsj.com/business/autos/the-score-rivian-alibaba-fedex-and-more-stocks-that-defined-the-week-c57c1d63,0
2023-06-23,Stocks Post Losing Week After Signs of Cooling Economy,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-23-2023-3b8ea2aa,0
2023-06-23,Yellen Says More Bank Mergers Likely This Year,https://www.wsj.com/finance/yellen-says-more-bank-mergers-likely-this-year-96f69e73,0
2023-06-23,Central-Bank Action Finally Cooling Global Economy,https://www.wsj.com/economy/central-bank-action-finally-cooling-global-economy-data-indicate-c6da0776,0
2023-06-26,"Carnival Shares Fall, Drag Down Royal Caribbean, Norwegian",https://www.wsj.com/business/hospitality/carnival-shares-fall-drag-down-royal-caribbean-norwegian-1d70ecf2,1
2023-06-26,Tesla Leads Surge in Battered Clean-Energy Stocks,https://www.wsj.com/business/autos/tesla-leads-surge-in-battered-clean-energy-stocks-e805be58,1
2023-06-26,"Stock Indexes Fall on Tech, Communications Declines",https://www.wsj.com/finance/global-stocks-markets-dow-news-06-26-2023-30619aa,1
2023-06-27,Judge Skeptical of Trump Bid to Move Hush-Money Case to Federal Court,https://www.wsj.com/us-news/judge-to-weigh-trump-bid-to-move-hush-money-case-to-federal-court-1b37e313,0
2023-06-27,"Climate Risk a Major Challenge for Insurance Industry, Treasury Says",https://www.wsj.com/articles/climate-risk-a-major-challenge-for-insurance-industry-treasury-says-6725f954,0
2023-06-27,The ‘Dark Patterns’ of Deceptive Marketing,https://www.wsj.com/opinion/dark-patterns-deceptive-marketing-hidden-fees-fc543404,0
2023-06-27,Stocks Advance After Data Highlights Resilient Economy,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-27-2023-5b8a4f72,0
2023-06-27,The Stock Market Isn’t as Calm as It Seems,https://www.wsj.com/finance/the-stock-market-isnt-as-calm-as-it-seems-3713180c,0
2023-06-27,EV Startup Lordstown Files for Bankruptcy,https://www.wsj.com/business/autos/lordstown-motors-bankruptcy-sues-foxconn-5c7a0f46,0
2023-06-28,Black Hole at Heart of Our Galaxy Is on Crash Course,https://www.wsj.com/science/black-hole-gravitational-waves-space-time-d455244d,1
2023-06-28,‘Like Water for Chocolate’ Review: An Overstuffed Ballet,https://www.wsj.com/arts-culture/like-water-for-chocolate-review-an-overstuffed-ballet-5c74e2e5,1
2023-06-28,Overstock Buys Bed Bath & Beyond Intellectual Property,https://www.wsj.com/finance/overstock-com-buys-bed-bath-beyond-intellectual-property-for-21-5-million-d2700f7f,1
2023-06-28,Nasdaq Continues Climb as Tech Rally Pushes On,https://www.wsj.com/finance/global-stocks-markets-dow-news-06-28-2023-f18c9e1b,1
2023-06-28,General Mills’ Sales Fall Short of Forecasts Despite Higher Prices,https://www.wsj.com/finance/general-mills-gis-q4-earnings-report-2023-ca39a948,1
2023-06-28,Powell Says Fed’s Inflation Fight Could Take Years,https://www.wsj.com/economy/central-banking/powell-other-central-bankers-face-uncertain-inflation-outlook-30bd34e5,1
